2007 Federal Election House of Representatives Two Candidate Preferred By Candidate By Polling Place [Event:13745 Phase:FinalResults Generated:2008-09-03T12:43:44 Cycle:349e38e7-5eda-4bc7-a4a0-805bff59620f Created:2008-08-13T17:22:12 Environment:TEST Site:Primary Server:TST-VTR04 Version:4.8.0.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
NSW,103,Banks,55,Mortdale Central,17949,MORROW,Bruce,3,N,N,LP,Liberal,729,-8.54
NSW,103,Banks,55,Mortdale Central,18021,MELHAM,Daryl,4,Y,Y,ALP,Labor,1216,8.54
NSW,103,Banks,57,Mortdale Heights,17949,MORROW,Bruce,3,N,N,LP,Liberal,480,-7.22
NSW,103,Banks,57,Mortdale Heights,18021,MELHAM,Daryl,4,Y,Y,ALP,Labor,543,7.22
NSW,103,Banks,5,Mortdale West,17949,MORROW,Bruce,3,N,N,LP,Liberal,787,-12.05
NSW,103,Banks,5,Mortdale West,18021,MELHAM,Daryl,4,Y,Y,ALP,Labor,1299,12.05
NSW,103,Banks,6,Narwee (Banks),17949,MORROW,Bruce,3,N,N,LP,Liberal,713,-11.12
NSW,103,Banks,6,Narwee (Banks),18021,MELHAM,Daryl,4,Y,Y,ALP,Labor,1236,11.12
NSW,103,Banks,11926,Oatley (Banks),17949,MORROW,Bruce,3,N,N,LP,Liberal,338,-6.56
NSW,103,Banks,11926,Oatley (Banks),18021,MELHAM,Daryl,4,Y,Y,ALP,Labor,361,6.56
NSW,103,Banks,59,Oatley West,17949,MORROW,Bruce,3,N,N,LP,Liberal,1219,-7.05
NSW,103,Banks,59,Oatley West,18021,MELHAM,Daryl,4,Y,Y,ALP,Labor,1216,7.05
NSW,103,Banks,7,Padstow,17949,MORROW,Bruce,3,N,N,LP,Liberal,1198,-10.04
NSW,103,Banks,7,Padstow,18021,MELHAM,Daryl,4,Y,Y,ALP,Labor,2212,10.04
NSW,103,Banks,8,Padstow East,17949,MORROW,Bruce,3,N,N,LP,Liberal,516,-12.07
NSW,103,Banks,8,Padstow East,18021,MELHAM,Daryl,4,Y,Y,ALP,Labor,860,12.07
NSW,103,Banks,9,Padstow North,17949,MORROW,Bruce,3,N,N,LP,Liberal,409,-10.3
NSW,103,Banks,9,Padstow North,18021,MELHAM,Daryl,4,Y,Y,ALP,Labor,731,10.3
NSW,103,Banks,10,Padstow South,17949,MORROW,Bruce,3,N,N,LP,Liberal,1271,-9.62
NSW,103,Banks,10,Padstow South,18021,MELHAM,Daryl,4,Y,Y,ALP,Labor,1537,9.62
NSW,103,Banks,11,Panania,17949,MORROW,Bruce,3,N,N,LP,Liberal,513,-9.66
NSW,103,Banks,11,Panania,18021,MELHAM,Daryl,4,Y,Y,ALP,Labor,842,9.66
